Julian_Day, SANSA_foF2, Measured_foF2, ICEPAC_foF2, Kp, F10, Dst
202105900,3.3452251521528815,nan,2.8615384615384616,0.0,75.7,-1.0
202105901,2.953290595073778,4.2,2.9076923076923076,0.0,75.7,-4.0
202105902,3.1205160060941948,3.15,3.161538461538462,0.0,75.7,-4.0
202105903,3.269018366641233,3.1,3.7384615384615385,2.0,75.7,-1.0
202105904,4.436983346736965,3.15,4.63076923076923,2.0,75.7,1.0
202105905,5.560529077030397,3.75,5.723076923076923,2.0,75.7,6.0
202105906,5.579252127503778,4.55,6.830769230769231,0.3,75.7,8.0
202105907,5.817025758798434,5.35,7.746153846153846,0.3,75.7,10.0
202105908,6.107057331036971,5.9,8.346153846153845,0.3,75.7,14.0
202105909,6.828216916062523,6.65,8.584615384615384,0.3,75.7,16.0
202105910,6.914442518619926,7.3,8.5,0.3,75.7,16.0
202105911,6.658378607994913,nan,8.176923076923078,0.3,75.7,16.0
202105912,6.943184386139061,7.05,7.6692307692307695,1.3,75.7,16.0
202105913,6.830829813109717,6.6,7.007692307692307,1.3,75.7,16.0
202105914,6.796862151496194,6.55,6.2153846153846155,1.3,75.7,15.0
202105915,6.322404951858967,6.5,5.338461538461538,1.0,75.7,13.0
202105916,5.974889644582162,6.35,4.446153846153846,1.0,75.7,8.0
202105917,4.347054784180282,6.0,3.6692307692307686,1.0,75.7,6.0
202105918,4.254080553433383,6.35,3.1,2.0,75.7,3.0
202105919,3.702759276475442,4.6,2.8,2.0,75.7,1.0
202105920,3.697533482381054,3.15,2.7384615384615385,2.0,75.7,0.0
202105921,3.1309675942829713,3.05,2.8,2.7,75.7,7.0
202105922,3.230257682076344,3.35,2.876923076923077,2.7,75.7,22.0
202105923,2.9376132127906134,3.4,2.8923076923076922,2.7,75.7,16.0
202106000,3.2603013607128,3.25,2.853846153846154,3.7,72.7,10.0
202106001,2.88389921672798,3.05,2.9,3.7,72.7,-5.0
202106002,3.0444974648281695,3.2,3.1538461538461533,3.7,72.7,-26.0
202106003,2.9873748569215204,2.35,3.7307692307692304,5.7,72.7,-43.0
202106004,4.049139314542076,2.45,4.623076923076923,5.7,72.7,-53.0
202106005,4.886423740016062,3.8,5.715384615384615,5.7,72.7,-58.0
202106006,5.049948125592522,4.25,6.815384615384615,5.0,72.7,-51.0
202106007,5.060464851568271,4.05,7.730769230769231,5.0,72.7,-47.0
202106008,5.087008882732719,6.25,8.330769230769231,5.0,72.7,-44.0
202106009,5.670098277565573,6.55,8.569230769230769,4.0,72.7,-40.0
202106010,5.716841501014644,7.75,8.49230769230769,4.0,72.7,-34.0
202106011,5.578028291984069,nan,8.161538461538461,4.0,72.7,-30.0
202106012,5.512904936032309,6.95,7.653846153846153,2.0,72.7,-26.0
202106013,5.451997099416853,6.1,6.999999999999999,2.0,72.7,-23.0
202106014,5.433583102300552,6.3,6.207692307692308,2.0,72.7,-25.0
202106015,5.070969005241088,6.1,5.3307692307692305,2.0,72.7,-22.0
202106016,4.882579650128164,6.3,4.446153846153846,2.0,72.7,-21.0
202106017,4.0001242498623615,6.35,3.6615384615384614,2.0,72.7,-23.0
202106018,3.6247958655667656,5.95,3.092307692307692,3.3,72.7,-26.0
202106019,3.3259225277560365,5.25,2.792307692307692,3.3,72.7,-24.0
202106020,3.3230896051227585,3.9,2.723076923076923,3.3,72.7,-24.0
202106021,3.2267702355913395,3.8,2.7846153846153845,1.3,72.7,-18.0
202106022,3.2805957656236027,4.1,2.8615384615384616,1.3,72.7,-14.0
202106023,3.1219520981600883,4.2,2.876923076923077,1.3,72.7,-13.0
202106100,3.3509395336785106,4.25,2.838461538461538,1.7,73.3,-12.0
202106101,3.136716807730221,4.55,2.8846153846153846,1.7,73.3,-12.0
202106102,3.228118504134825,3.5,3.146153846153846,1.7,73.3,-12.0
202106103,3.0614014221085286,3.35,3.7230769230769227,2.3,73.3,-14.0
202106104,3.794985869543722,2.95,4.615384615384615,2.3,73.3,-11.0
202106105,4.646858408111324,3.45,5.707692307692308,2.3,73.3,-8.0
202106106,5.092733481705783,4.55,6.8076923076923075,2.3,73.3,-8.0
202106107,5.466311587578995,5.15,7.723076923076922,2.3,73.3,-14.0
202106108,5.948779130023616,5.9,8.323076923076924,2.3,73.3,-9.0
202106109,7.03596389186327,6.15,8.553846153846154,2.0,73.3,-5.0
202106110,7.11945578971608,6.75,8.476923076923077,2.0,73.3,-7.0
202106111,6.871510153668345,7.15,8.153846153846153,2.0,73.3,-10.0
202106112,6.7583975334447945,nan,7.646153846153846,3.3,73.3,-3.0
202106113,6.649605060485073,nan,6.984615384615385,3.3,73.3,-3.0
202106114,6.616714312846088,7.1,6.2,3.3,73.3,-18.0
202106115,6.746797367886922,6.55,5.323076923076923,4.0,73.3,-14.0
202106116,6.410299718964996,6.5,4.438461538461538,4.0,73.3,-7.0
202106117,4.834073889804391,5.7,3.6538461538461537,4.0,73.3,-9.0
202106118,3.951727159587957,5.6,3.0846153846153843,5.0,73.3,-13.0
202106119,3.4208045680291974,5.4,2.776923076923077,5.0,73.3,-19.0
202106120,3.4192767849675496,3.5,2.7076923076923074,5.0,73.3,-26.0
202106121,3.1622792076231105,3.4,2.769230769230769,4.3,73.3,-30.0
202106122,3.2345122545098617,3.35,2.8461538461538463,4.3,73.3,-33.0
202106123,3.0216148531594387,3.1,2.8615384615384616,4.3,73.3,-23.0
202106200,3.337719363004113,3.35,2.715384615384615,4.3,74.4,-21.0
202106201,3.0483100130880745,3.4,2.7846153846153845,4.3,74.4,-19.0
202106202,3.1717913357189174,3.4,3.0692307692307694,4.3,74.4,-32.0
202106203,3.0357153949428,3.35,3.646153846153846,4.7,74.4,-39.0
202106204,3.7861378489147732,nan,4.530769230769231,4.7,74.4,-36.0
202106205,4.378900776568635,3.6,5.615384615384615,4.7,74.4,-39.0
202106206,4.605035805804308,4.45,6.707692307692308,4.3,74.4,-35.0
202106207,4.736947906191784,5.15,7.607692307692308,4.3,74.4,-35.0
202106208,4.897851676994089,4.1,8.192307692307692,4.3,74.4,-37.0
202106209,5.29793672871874,4.25,8.415384615384614,2.7,74.4,-35.0
202106210,5.345772984903211,4.35,8.330769230769231,2.7,74.4,-32.0
202106211,5.2037137998705445,4.35,8.0,2.7,74.4,-28.0
202106212,5.361718403631366,4.1,7.5,2.7,74.4,-22.0
202106213,5.299386312239482,4.25,6.869230769230769,2.7,74.4,-18.0
202106214,5.280541726469843,4.05,6.115384615384615,2.7,74.4,-18.0
202106215,4.909448345160022,5.0,5.2615384615384615,2.3,74.4,-15.0
202106216,4.716653736901402,4.45,4.384615384615385,2.3,74.4,-12.0
202106217,3.813563203479453,4.3,3.592307692307692,2.3,74.4,-6.0
202106218,3.9159893212295716,4.05,2.9846153846153842,2.0,74.4,-5.0
202106219,3.592495084672019,nan,2.6384615384615384,2.0,74.4,-10.0
202106220,3.602885801807007,3.45,2.5384615384615383,2.0,74.4,-14.0
202106221,3.1795089183833456,2.9,2.5846153846153843,2.7,74.4,-16.0
202106222,3.2528259536954085,2.85,2.6615384615384614,2.7,74.4,-11.0
202106223,3.036733639091432,nan,2.6999999999999997,2.7,74.4,-14.0
202106300,3.3323824056373814,2.4,2.7846153846153845,3.7,74.1,-14.0
202106301,3.0441400289064884,3.2,2.8461538461538463,3.7,74.1,-18.0
202106302,3.167123442978336,2.95,3.1076923076923078,3.7,74.1,-16.0
202106303,3.587159815657521,2.85,3.692307692307692,3.0,74.1,-14.0
202106304,4.64022015923953,2.8,4.576923076923077,3.0,74.1,-14.0
202106305,5.859040571659433,3.4,5.661538461538462,3.0,74.1,-14.0
202106306,5.480259421447627,4.5,6.761538461538461,0.7,74.1,-14.0
202106307,5.713007454194446,5.0,7.6692307692307695,0.7,74.1,-13.0
202106308,5.996908900731772,5.2,8.26153846153846,0.7,74.1,-9.0
202106309,6.702826011040799,5.55,8.49230769230769,0.3,74.1,-7.0
202106310,6.78722914379514,6.2,8.407692307692308,0.3,74.1,-7.0
202106311,6.536577416221645,6.35,8.084615384615384,0.3,74.1,-5.0
202106312,7.204252410268809,6.05,7.576923076923077,2.0,74.1,-8.0
202106313,7.094272570619214,5.8,6.93076923076923,2.0,74.1,-15.0
202106314,7.061022851655382,5.6,6.161538461538461,2.0,74.1,-19.0
202106315,6.406259155136863,6.05,5.3,2.0,74.1,-18.0
202106316,6.066088953429977,6.0,4.415384615384616,2.0,74.1,-13.0
202106317,4.472660113855613,5.55,3.623076923076923,2.0,74.1,-12.0
202106318,3.802427449118923,5.0,3.0384615384615383,1.7,74.1,-12.0
202106319,3.2627589336290503,4.3,2.715384615384615,1.7,74.1,-9.0
202106320,3.25764359225,4.05,2.6307692307692307,1.7,74.1,-14.0
202106321,3.083721985362268,3.75,2.684615384615385,2.7,74.1,-14.0
202106322,3.180913471564236,3.75,2.7615384615384615,2.7,74.1,-12.0
202106323,2.894454354337384,3.7,2.792307692307692,2.7,74.1,-9.0
202106400,3.288715321733277,3.4,2.769230769230769,1.3,73.9,-10.0
202106401,2.9061002125107427,3.4,2.830769230769231,1.3,73.9,-11.0
202106402,3.069349325779024,3.35,3.1,1.3,73.9,-11.0
202106403,2.8346787254558707,3.3,3.6846153846153844,1.3,73.9,-13.0
202106404,3.9748717509390215,3.35,4.569230769230769,1.3,73.9,-12.0
202106405,5.071701730710286,3.7,5.653846153846153,1.3,73.9,-9.0
202106406,5.85851033319061,4.5,6.753846153846153,2.0,73.9,-8.0
202106407,6.090630166118947,5.35,7.661538461538462,2.0,73.9,-5.0
202106408,6.373765346943622,5.45,8.253846153846155,2.0,73.9,-6.0
202106409,6.88333270346864,4.2,8.484615384615385,1.0,73.9,-10.0
202106410,6.9675080274975985,4.55,8.392307692307693,1.0,73.9,-11.0
202106411,6.717532822805543,4.4,8.069230769230769,1.0,73.9,-11.0
202106412,6.801122024396139,6.25,7.569230769230769,0.7,73.9,-10.0
202106413,6.691439026419012,6.15,6.9230769230769225,0.7,73.9,-12.0
202106414,6.658279050286393,6.2,6.153846153846153,0.7,73.9,-10.0
202106415,6.0052825972132675,6.05,5.292307692307692,0.7,73.9,-7.0
202106416,5.666030533702623,5.55,4.407692307692308,0.7,73.9,-3.0
202106417,4.076902446731697,5.2,3.623076923076923,0.7,73.9,-2.0
202106418,3.796318033301839,5.05,3.0307692307692307,1.7,73.9,-6.0
202106419,3.258106112995475,4.45,2.7076923076923074,1.7,73.9,-5.0
202106420,3.2530045782058403,3.7,2.6153846153846154,1.7,73.9,-1.0
202106421,3.0795523953582915,3.6,2.669230769230769,1.3,73.9,1.0
202106422,3.176481556361334,3.7,2.7461538461538457,1.3,73.9,4.0
